;P_EL;P_OTHER;Q_EL;Q_OTHER;lP_E;lP_O;lQ_E;lQ_O;hdd_extr;lhdd_x;Ls74;I74;Ls06;I06;I75;I1986;I1978;I:1968;I:1974;I:1967;S1:1973;S1:1974;S1:1977;I:1981;PE_b;PO_b;PEO_TX;lPE_b;lPO_b;lPEO_TX;I2000;Ls86;Ls00;tr67;Dlh;Ls78;I1975;Ls09;I2009;Ls80;I1980;Tr80;I1994;Ls94;DLs74;DLs78;Dlhdd_x;Ls73;Ls79;DLs73;DLs79;VlQ_E;VlQ_O;VlP_E;VlP_O;pdif;dumm1986;Ls73c;Ls79c;dumm1986c;Ls09c;DlP_O;e_pr_cap;Le_pr_cap;LP_Ea;DLP_Ea;DlP_E;DLe_pr_cap;lPet
1986;8.90768E-05;0.000118538;67.26180697;221.4653114;-9.326012036;-9.04028013;4.208592571;5.400265969;3939.33;8.278765937;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2.158144631;0.889880539;0.086826917;0.769248885;-0.116668051;-2.443838602;0;1;0;0;-0.034998091;1;0;0;0;1;0;0;0;0;0;0;-0.034998091;1;1;0;0;8.88178E-16;-1.77636E-15;0;-1.77636E-15;0.285731907;1;0.137254902;0.254901961;0.392156863;-0.156862745;-0.527074134;3823.501807;8.248921985;-0.011645575;-0.034464945;0.016324126;0.013004462;-2.704593529
1987;7.65882E-05;0.000106491;70.67263993;215.0225597;-9.477066999;-9.147450412;4.25805851;5.370742951;4080.54;8.313984612;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1.620431115;0.919964536;0.114260218;0.482692234;-0.083420157;-2.16927682;0;1;0;0;0.035218675;1;0;0;0;1;0;0;0;0;0;0;0.035218675;1;1;0;0;0.010968452;-0.018326594;-0.115779951;-0.163836778;0.329616588;1;0.137254902;0.254901961;0.392156863;-0.156862745;-0.107170282;3819.832129;8.247961755;-0.183813734;-0.172168159;-0.151054963;-0.00096023;-2.747174123
1988;7.90593E-05;9.09116E-05;71.62703291;216.0312948;-9.445312215;-9.30562348;4.271472557;5.375423281;3366.66;8.121676434;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1.885808581;0.882301351;0.117287296;0.634356684;-0.125221614;-2.143128834;0;1;0;0;-0.192308178;1;0;0;0;1;0;0;0;0;0;0;-0.192308178;1;1;0;0;0.015760087;0.024327378;-0.080604422;-0.123424203;0.139688735;1;0.137254902;0.254901961;0.392156863;-0.156862745;-0.158173069;3642.119646;8.200321111;-0.115300555;0.068513178;0.031754784;-0.047640644;-2.840753171
1989;9.31065E-05;0.000100513;70.15464046;213.6765699;-9.281766537;-9.205227884;4.250701955;5.364463516;3163.28;8.059364743;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.582602596;0.841249736;0.091164903;0.948797648;-0.172866712;-2.395085296;0;1;0;0;-0.062311691;1;0;0;0;1;0;0;0;0;0;0;-0.062311691;1;1;0;0;0.003770171;-0.022533622;0.042391005;0.140407292;0.076538652;1;0.137254902;0.254901961;0.392156863;-0.156862745;0.100395596;3414.211605;8.135701883;0.021796752;0.137097307;0.163545678;-0.064619228;-2.770468425
1990;8.82824E-05;9.84054E-05;70.9083939;218.9544262;-9.33497034;-9.226415241;4.261388817;5.388863609;3095.48;8.037698262;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.691962617;0.848947035;0.081959679;0.990270525;-0.16375848;-2.501527873;0;1;0;0;-0.021666481;1;0;0;0;1;0;0;0;0;0;0;-0.021666481;1;1;0;0;0.045048925;0.0058818;-0.085249807;0.019302667;0.108555099;1;0.137254902;0.254901961;0.392156863;-0.156862745;-0.021187357;3376.783307;8.124678851;-0.103422337;-0.125219088;-0.053203803;-0.011023032;-2.766981055
1991;9.47892E-05;9.39488E-05;68.18848445;240.4485635;-9.263855305;-9.272760688;4.222275701;5.482506193;3514.22;8.164572874;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.333937746;0.86084928;0.09446189;0.847556861;-0.149835843;-2.359558808;0;1;0;0;0.126874612;1;0;0;0;1;0;0;0;0;0;0;0.126874612;1;1;0;0;0.022505895;0.055110874;-0.007630047;-0.002089087;-0.008905383;1;0.137254902;0.254901961;0.392156863;-0.156862745;-0.046345447;3734.818398;8.225454475;-0.029381104;0.074041232;0.071115035;0.100775624;-2.857474505
1992;9.42843E-05;9.29137E-05;68.25539977;223.1477481;-9.269196286;-9.283839287;4.223256548;5.4078341;3146.92;8.054179476;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1.580125523;0.898917362;0.148387297;0.457504289;-0.106564171;-1.907929551;0;1;0;0;-0.110393398;1;0;0;0;1;0;0;0;0;0;0;-0.110393398;1;1;0;0;0.055228768;-0.066809629;-0.107390223;-0.091013709;-0.014643001;1;0.137254902;0.254901961;0.392156863;-0.156862745;-0.011078599;3561.890369;8.178046685;-0.074779326;-0.045398222;-0.005340981;-0.047407789;-2.869312267
1993;9.9893E-05;8.95015E-05;63.43972499;237.9823457;-9.211410935;-9.321255121;4.150090242;5.472196493;3604.03;8.189807943;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1.21965999;0.95025729;0.184640726;0.198572123;-0.0510225;-1.689343364;0;1;0;0;0.135628467;1;0;0;0;1;0;0;0;0;0;0;0.135628467;1;1;0;0;-0.002124695;0.019313226;-0.012941389;-0.034271476;-0.109844186;1;0.137254902;0.254901961;0.392156863;-0.156862745;-0.037415834;3645.515346;8.201253019;-0.030616426;0.044162901;0.057785351;0.023206333;-2.895120727
1994;9.909E-05;9.0938E-05;62.02200089;219.1677651;-9.219482405;-9.305333017;4.127489175;5.389837487;3429.72;8.140233904;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1.243974422;0.94339192;0.18832793;0.218311433;-0.058273473;-1.669570529;0;1;0;0;-0.049574039;1;0;0;0;1;0;0;1;1;0;0;-0.049574039;1;1;0;0;0;-8.88178E-16;0;1.77636E-15;-0.085850612;1;0.137254902;0.254901961;0.392156863;-0.156862745;0.015922104;3760.577237;8.232327745;-0.074136378;-0.043519952;-0.008071471;0.031074726;-2.949644556
1995;0.000106294;8.74904E-05;59.15530001;220.6801426;-9.149301829;-9.343981547;4.080166189;5.396714335;3552.34;8.17536182;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1.176817007;0.952639274;0.211264186;0.162813342;-0.048518964;-1.55464586;0;1;0;0;0.035127916;1;0;0;0;1;0;0;0;1;0;0;0.035127916;1;1;0;0;-0.008382104;-0.027655409;0.020667085;-0.049706922;-0.194679718;1;0.137254902;0.254901961;0.392156863;-0.156862745;-0.03864853;3706.440187;8.217827177;-0.016634181;0.057502197;0.070180576;-0.014500568;-2.957582157
1996;9.9168E-05;0.000107637;62.90398551;223.8674496;-9.218694916;-9.13674387;4.141609524;5.411054134;4046.26;8.305548277;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.983499569;1.004029833;0.196287434;-0.016638079;0.004021735;-1.628175195;0;1;0;0;0.130186456;1;0;0;0;1;0;0;0;1;0;0;0.130186456;1;1;0;0;0.086780781;-0.033943196;-0.063472774;0.134486314;0.081951046;1;0.137254902;0.254901961;0.392156863;-0.156862745;0.207237677;4170.252024;8.33573175;-0.125761419;-0.109127237;-0.069393087;0.117904574;-2.951739049
