"","respondent_ID","EE_highest","invest_EE","EE_combi_washdryer","EE_washingmachine","EE_dryer","EE_dishwasher","EE_combifridge_freezer","EE_fridge_integrated_freezer","EE_fridge_no_integrated_freezer","EE_chestfreezer","EE_standingfreezer","postnummer","income","age","know_el","house_type","house_type.1","house_size","year_built","persons0.5","persons6.10","persons11.15","persons16.18","persons18.30","persons31.50","persons51.65","persons65","geoms","job_index_resp","job_index_spouse","qty_inhabitants","light_score","EE_index"
"A22","A22",0,0,NA,NA,NA,"No_label","No_label",NA,NA,NA,NA,2880,4,"3",1,1,"apt",2,4,0,0,0,0,0,1,0,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.558198,55.661114,0.0 12.558863,55.664798,0.0 12.532452,55.663712,0.0 12.529944,55.66753,0.0 12.53205,55.668093,0.0 12.55682,55.674614,0.0 12.555453,55.683832,0.0 12.558041,55.681998,0.0 12.578166,55.670644,0.0 12.570128,55.665748,0.0 12.566221,55.661568,0.0 12.564579,55.660465,0.0 12.558198,55.661114,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",9,0,1,1,0.333333333333333
"A23","A23",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9000,2,"4",0,1,"apt",2,4,0,0,0,0,0,0,1,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.558198,55.661114,0.0 12.558863,55.664798,0.0 12.532452,55.663712,0.0 12.529944,55.66753,0.0 12.53205,55.668093,0.0 12.55682,55.674614,0.0 12.555453,55.683832,0.0 12.558041,55.681998,0.0 12.578166,55.670644,0.0 12.570128,55.665748,0.0 12.566221,55.661568,0.0 12.564579,55.660465,0.0 12.558198,55.661114,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",10,0,1,1,0.384615384615385
"A24","A24",1,1,NA,"A+",NA,NA,"A++",NA,NA,NA,NA,2720,3,"5",1,1,"apt",2,3,0,0,0,0,0,0,1,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.555453,55.683832,0.0 12.55682,55.674614,0.0 12.53205,55.668093,0.0 12.534172,55.680767,0.0 12.542654,55.687119,0.0 12.555453,55.683832,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",6,0,1,1,0.538461538461538
"A25","A25",0,1,NA,NA,NA,NA,"A+",NA,"A+",NA,"A+",2770,5,"2",1,1,"apt",2,NA,0,0,0,1,0,1,0,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.555453,55.683832,0.0 12.55682,55.674614,0.0 12.53205,55.668093,0.0 12.534172,55.680767,0.0 12.542654,55.687119,0.0 12.555453,55.683832,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",9,0,2,0.5,0.333333333333333
"A27","A27",1,1,NA,"A+",NA,"A","A++",NA,NA,NA,NA,2400,4,"3",1,1,"apt",2,2,0,0,0,0,0,1,0,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.555453,55.683832,0.0 12.55682,55.674614,0.0 12.53205,55.668093,0.0 12.534172,55.680767,0.0 12.542654,55.687119,0.0 12.555453,55.683832,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",9,0,1,0.714285714285714,0.4
"A28","A28",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2970,8,"4",0,1,"apt",2,4,0,0,0,0,0,0,2,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.555453,55.683832,0.0 12.55682,55.674614,0.0 12.53205,55.668093,0.0 12.534172,55.680767,0.0 12.542654,55.687119,0.0 12.555453,55.683832,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",9,9,2,0,0.583333333333333
"A29","A29",0,0,NA,NA,NA,NA,"A",NA,NA,NA,NA,2720,2,"5",1,1,"apt",2,3,1,0,0,0,0,0,0,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.555453,55.683832,0.0 12.55682,55.674614,0.0 12.53205,55.668093,0.0 12.534172,55.680767,0.0 12.542654,55.687119,0.0 12.555453,55.683832,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",6,0,1,0,0.125
"A30","A30",1,1,NA,"A++",NA,NA,"A+",NA,NA,NA,NA,2100,3,"2",0,1,"apt",2,NA,0,0,0,0,1,0,0,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.555453,55.683832,0.0 12.55682,55.674614,0.0 12.53205,55.668093,0.0 12.534172,55.680767,0.0 12.542654,55.687119,0.0 12.555453,55.683832,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",2,0,1,0.8,0.545454545454545
"A31","A31",0,0,NA,"No_label",NA,NA,"A",NA,NA,NA,NA,4200,2,"4",1,1,"apt",2,2,0,0,0,0,0,0,1,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.555453,55.683832,0.0 12.55682,55.674614,0.0 12.53205,55.668093,0.0 12.534172,55.680767,0.0 12.542654,55.687119,0.0 12.555453,55.683832,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",6,0,1,1,0.384615384615385
"A32","A32",0,0,NA,NA,NA,NA,"A",NA,NA,NA,NA,2800,1,"1",0,1,"apt",2,4,0,0,0,0,2,0,0,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.555453,55.683832,0.0 12.55682,55.674614,0.0 12.53205,55.668093,0.0 12.534172,55.680767,0.0 12.542654,55.687119,0.0 12.555453,55.683832,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",0,0,2,1,0.625
